Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BPM POC_SUITE,Chrome 75.0.3770.142,,,2019-07-29 15:18:21,2019-07-29 15:19:43,1m - 21.125s,INCOMPLETE
,,,,,,,
Test Cases/BPM POC/TC_001_Verify_Record_UpdateSuccessful,Chrome 75.0.3770.142,,,2019-07-29 15:18:22,2019-07-29 15:18:53,31.391s,PASSED
"runtime.exec(""C:/DC/KILL BROWSER.bat"")",Chrome 75.0.3770.142,,,2019-07-29 15:18:22,2019-07-29 15:18:22,0.016s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 15:18:22,2019-07-29 15:18:30,8.310s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 15:18:30,2019-07-29 15:18:36,5.897s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 15:18:36,2019-07-29 15:18:40,4.208s,PASSED
waitForAngularLoad(10),Chrome 75.0.3770.142,,,2019-07-29 15:18:40,2019-07-29 15:18:40,0.022s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",Chrome 75.0.3770.142,,,2019-07-29 15:18:40,2019-07-29 15:18:40,0.194s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",Chrome 75.0.3770.142,,,2019-07-29 15:18:40,2019-07-29 15:18:41,0.113s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",Chrome 75.0.3770.142,,,2019-07-29 15:18:41,2019-07-29 15:18:41,0.080s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",Chrome 75.0.3770.142,,,2019-07-29 15:18:41,2019-07-29 15:18:41,0.829s,PASSED
delay(5),Chrome 75.0.3770.142,,,2019-07-29 15:18:41,2019-07-29 15:18:47,5.032s,PASSED
ra = RandomStringUtils.randomAlphanumeric(10),Chrome 75.0.3770.142,,,2019-07-29 15:18:47,2019-07-29 15:18:47,0.000s,PASSED
"setText(findTestObject(""BPM POC/Input_Description""), ""Test - message"" + ra)",Chrome 75.0.3770.142,,,2019-07-29 15:18:47,2019-07-29 15:18:47,0.275s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",Chrome 75.0.3770.142,,,2019-07-29 15:18:47,2019-07-29 15:18:47,0.093s,PASSED
delay(5),Chrome 75.0.3770.142,,,2019-07-29 15:18:47,2019-07-29 15:18:52,5.010s,PASSED
"verifyElementText(findTestObject(""BPM POC/Status_message""), ""Success. Record Saved Successfully"")",Chrome 75.0.3770.142,,,2019-07-29 15:18:52,2019-07-29 15:18:52,0.031s,PASSED
takeScreenshot(),Chrome 75.0.3770.142,,,2019-07-29 15:18:52,2019-07-29 15:18:52,0.357s,PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-29 15:18:52,2019-07-29 15:18:53,0.672s,PASSED
,,,,,,,
Test Cases/BPM POC/TC_002_Verify_Record_AlreadyExist,Chrome 75.0.3770.142,,,2019-07-29 15:18:53,2019-07-29 15:19:18,24.891s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-29 15:18:53,2019-07-29 15:19:00,7.195s,PASSED
"navigateToUrl(""http://10.50.120.22/nvkids/#/login"")",Chrome 75.0.3770.142,,,2019-07-29 15:19:00,2019-07-29 15:19:06,5.770s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,,2019-07-29 15:19:06,2019-07-29 15:19:10,4.207s,PASSED
waitForAngularLoad(10),Chrome 75.0.3770.142,,,2019-07-29 15:19:10,2019-07-29 15:19:10,0.030s,PASSED
"setText(findTestObject(""Login Page/Input_Password""), ""Protech!23nv"")",Chrome 75.0.3770.142,,,2019-07-29 15:19:10,2019-07-29 15:19:10,0.142s,PASSED
"setText(findTestObject(""Login Page/Input_Username""), ""protechnv"")",Chrome 75.0.3770.142,,,2019-07-29 15:19:10,2019-07-29 15:19:10,0.088s,PASSED
"click(findTestObject(""Login Page/Button_Login""))",Chrome 75.0.3770.142,,,2019-07-29 15:19:10,2019-07-29 15:19:11,0.080s,PASSED
"doubleClick(findTestObject(""BPM POC/GridRow""))",Chrome 75.0.3770.142,,,2019-07-29 15:19:11,2019-07-29 15:19:11,0.797s,PASSED
"setText(findTestObject(""BPM POC/Input_Description""), ""POC Test Message 6 POC Test Message 6 Sample9"")",Chrome 75.0.3770.142,,,2019-07-29 15:19:11,2019-07-29 15:19:12,0.358s,PASSED
"click(findTestObject(""BPM POC/Button_Save""))",Chrome 75.0.3770.142,,,2019-07-29 15:19:12,2019-07-29 15:19:12,0.067s,PASSED
delay(5),Chrome 75.0.3770.142,,,2019-07-29 15:19:12,2019-07-29 15:19:17,5.014s,PASSED
"verifyElementText(findTestObject(""BPM POC/Status_message""), ""Failure. E : Record Already Exists"")",Chrome 75.0.3770.142,,,2019-07-29 15:19:17,2019-07-29 15:19:17,0.031s,PASSED
takeScreenshot(),Chrome 75.0.3770.142,,,2019-07-29 15:19:17,2019-07-29 15:19:17,0.328s,PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-29 15:19:17,2019-07-29 15:19:18,0.688s,PASSED
,,,,,,,
